playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
baldero01,"Rocco Baldelli",USA,2250000,TBA
baldwja01,"James Baldwin",USA,5950000,CHA
balejo01,"John Bale",USA,2200000,KCA
balenwl01,"Wladimir Balentien",Curacao,416000,SEA
balesco01,"Collin Balester",USA,485000,DET
balfogr01,"Grant Balfour",Australia,4500000,MIN
ballaje01,"Jeff Ballard",USA,465000,BAL
balleja01,"Jay Baller",USA,75000,CHN
bandoch01,"Chris Bando",USA,325000,CLE
bankhsc01,"Scott Bankhead",USA,1450000,KCA
banksbr01,"Brian Banks",USA,300000,ML4
bankswi01,"Willie Banks",USA,450000,MIN
bannial01,"Alan Bannister",USA,350000,TEX
bannibr01,"Brian Bannister",USA,2300000,NYN
bannifl01,"Floyd Bannister",USA,930000,CHA
baptitr01,"Travis Baptist",USA,170000,MIN
barajro01,"Rod Barajas",USA,4000000,ARI
barbebr01,"Bret Barberie",USA,958750,MON
barbebr02,"Brian Barber",USA,210000,SLN
barcelo01,"Lorenzo Barcelo",D.R.,240000,CHA
bardda01,"Daniel Bard",USA,1862500,BOS
bardebr01,"Brian Barden",USA,415000,ARI
bardjo01,"Josh Bard",USA,2237500,CLE
barfije01,"Jesse Barfield",USA,2166667,TOR
barfijo01,"John Barfield",USA,110000,TEX
barfijo02,"Josh Barfield",Venezuela,416100,SDN
barkegl01,"Glen Barker",USA,270000,HOU
barkeke01,"Kevin Barker",USA,205000,MIL
barkele01,"Len Barker",USA,900000,ATL
barmecl01,"Clint Barmes",USA,5500000,COL
barnebr01,"Brian Barnes",USA,182500,MON
barnebr02,"Brandon Barnes",USA,501000,HOU
barneda01,"Darwin Barney",USA,2525000,CHN
barnejo01,"John Barnes",USA,200000,MIN
barnema01,"Matt Barnes",USA,508500,BOS
barnesk01,"Skeeter Barnes",USA,265000,DET
barreaa01,"Aaron Barrett",USA,514200,WAS
barrema02,"Marty Barrett",USA,1000000,BOS
barremi01,"Michael Barrett",USA,4533333,MON
barroto01,"Tony Barron",USA,150000,PHI
barryje01,"Jeff Barry",USA,202000,NYN
barteki01,"Kimera Bartee",USA,270000,DET
bartlja01,"Jason Bartlett",USA,5500000,MIN
bartobr01,"Brian Barton",USA,390000,SLN
bartocl01,"Cliff Bartosh",USA,318600,CHN
bartoda02,"Daric Barton",USA,1250000,OAK
bartosh01,"Shawn Barton",USA,109000,SFN
bassan01,"Anthony Bass",USA,725000,SDN
bassbr01,"Brian Bass",USA,405000,MIN
basske01,"Kevin Bass",USA,2000000,HOU
bastaan01,"Antonio Bastardo",D.R.,3100000,PHI
batchri01,"Rich Batchelor",USA,157500,SLN
batesbi01,"Billy Bates",USA,100000,ML4
batesja01,"Jason Bates",USA,325000,COL
bathebi01,"Bill Bathe",USA,120000,SFN
batiski01,"Kim Batiste",USA,175000,PHI
batismi01,"Miguel Batista",D.R.,9500000,PIT
batisto01,"Tony Batista",D.R.,6400000,OAK
battlal01,"Allen Battle",USA,117000,SLN
bauerri01,"Rick Bauer",USA,350000,BAL
bauertr01,"Trevor Bauer",USA,1940000,CLE
baughju01,"Justin Baughman",USA,215000,ANA
bautida01,"Danny Bautista",D.R.,4000000,DET
