playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
allenni01,216,500,41,116,13,5,0,36,8,0,33,73,0,6,10,0,0
allenpe01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenro01,7,11,2,1,0,0,1,1,0,0,3,5,0,0,0,0,1
allenro02,31,50,8,11,2,0,0,3,1,0,2,11,0,1,1,0,0
allensl01,14,23,3,3,1,0,0,1,0,0,1,0,0,2,1,0,0
alleyge01,1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95
alliebo01,21,45,4,8,1,0,1,2,0,0,1,6,1,0,1,0,1
alliega01,121,418,38,83,8,6,3,30,1,1,56,84,0,2,3,3,3
allisan01,24,93,11,15,3,0,0,9,0,0,0,3,0,0,0,0,0
allisar01,168,740,106,188,19,8,1,70,10,3,5,18,0,0,0,0,0
allisbi01,5,19,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0
allisbo01,1541,5032,811,1281,216,53,256,796,84,50,795,1033,30,34,25,35,115
allisda01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allisdo01,318,1407,236,381,43,10,2,140,5,2,22,40,0,0,0,0,0
allisma01,45,76,3,9,0,0,0,1,0,0,2,9,0,0,1,0,0
allismi01,49,60,15,13,0,0,0,0,4,0,15,9,0,0,3,0,0
allrebe01,65,165,19,38,7,0,4,15,2,2,29,48,2,1,3,2,1
almadme01,646,2483,363,706,107,27,15,197,56,27,214,150,0,5,35,0,4
almanar01,254,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
almanca01,210,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
almeira01,102,285,32,77,13,6,3,46,7,0,25,40,0,3,11,0,0
almonab01,166,508,65,124,26,6,10,48,12,4,39,133,0,1,7,5,12
almonbi01,1236,3330,390,846,138,25,36,296,128,60,250,636,24,6,44,29,53
almoned01,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
almoner01,55,133,18,31,7,0,2,14,3,0,8,29,0,1,2,0,5
almonhe01,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
almonmi01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonzo01,47,142,11,30,4,0,2,12,4,1,6,33,0,0,0,1,3
alomalu01,116,48,2,8,1,0,0,3,0,0,1,17,0,0,2,0,1
alomaro01,2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,97,206
alomasa01,1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,18,58
alomasa02,1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132
alonsyo01,508,1621,169,443,93,2,32,183,17,6,163,263,18,9,1,17,47
aloufe01,2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135
alouje01,1380,4345,448,1216,170,26,32,377,31,46,138,267,32,30,44,20,143
alouma01,1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101
aloumo01,1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195
alperwh01,450,1632,134,387,60,36,7,141,27,0,30,0,0,39,57,0,0
alstode01,189,332,48,79,7,4,3,35,20,21,28,44,3,2,7,5,4
alstoga01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alstoto01,91,271,30,66,15,2,4,36,3,5,25,46,0,2,0,1,6
alstowa01,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
altampo01,65,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
altener01,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altenje01,19,31,3,9,1,1,0,3,0,0,1,5,0,0,1,0,0
altheaa01,41,142,25,33,11,4,5,22,6,2,16,43,0,5,1,2,3
altizda01,514,1734,204,433,36,21,4,116,119,0,140,5,0,33,84,0,0
altmage01,991,3091,409,832,132,34,101,403,52,22,268,572,38,20,19,21,43
altobjo01,166,257,27,54,8,3,5,28,3,3,23,42,0,2,5,3,3
altroni01,230,550,52,97,9,1,2,27,5,1,29,0,0,11,15,0,0
altuvjo01,668,2721,341,830,162,14,36,226,169,49,146,308,20,24,17,24,74
alusige01,298,652,75,167,31,2,23,93,1,2,73,103,3,4,4,4,16
alvarab01,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
alvarcl01,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
alvarda01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarda02,12,29,3,7,1,0,1,1,0,0,2,8,0,0,0,0,0
alvarga01,92,266,22,59,15,0,7,33,1,4,24,76,1,2,0,2,2
alvarhe01,92,94,5,22,4,0,1,9,0,0,1,34,0,0,12,2,0
alvarjo01,99,11,0,3,0,0,0,0,0,0,1,2,0,0,3,0,0
alvarjo02,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alvarju01,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarlu01,463,1160,116,248,43,4,5,84,11,10,49,160,10,3,14,5,27
